Vulnerability,Language,Description,Recommendations,Links,File,Line,Severity Level,Correlation with DAST,Status,Trace,Event log,Vulnerability UUID
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/core-templates/steps/enable-internal-sources.yml,21,Critical,Unconfirmed,Not processed,,,0c25ee0b-39e1-403b-96ad-cf4c389541b8
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/core-templates/steps/enable-internal-sources.yml,38,Critical,Unconfirmed,Not processed,,,dac1e602-5f9a-41de-9ee3-f85374b6557c
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/core-templates/steps/get-federated-access-token.yml,10,Critical,Unconfirmed,Not processed,,,ea06417c-7d29-4b10-b8bf-6ac35559dae1
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/core-templates/steps/get-federated-access-token.yml,42,Critical,Unconfirmed,Not processed,,,091ab2a8-ef8f-41a0-99a4-1d6852ea7f90
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/core-templates/steps/retain-build.yml,5,Critical,Unconfirmed,Not processed,,,cf0d66c8-770d-4121-ac1c-7423d037d85f
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/init-tools-native.sh,156,Critical,Unconfirmed,Not processed,,,08bbf192-9976-4523-8bf1-9db300f93f01
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/common/internal-feed-operations.sh,100,Critical,Unconfirmed,Not processed,,,f2d36e4a-4f40-4330-ad86-fb791a0c68dc
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/pipelines/templates/jobs/vmr-build.yml,393,Critical,Unconfirmed,Not processed,,,9bb5d3dc-95b5-45e2-8e2c-92f55692eed6
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/eng/pipelines/templates/variables/sdk-defaults.yml,14,Critical,Unconfirmed,Not processed,,,bdcc9db9-089d-4535-89bd-6d5bbd63706e
Empty encryption key,Config files,"Empty encryption key in a configuration file can compromise the application. It is very difficult to eliminate the security risks related to hardcoded empty keys. The fact that some data is encrypted with an empty key is at least known to every application developer. Moreover, after the application is installed, the empty key can be removed from the code only via an update. Constant strings are easily extracted from the compiled application by decompilers. Therefore, an attacker does not necessarily need to have an access to the source code to learn about the encryption with an empty key. Insufficient Cryptography vulnerabilities take the fifth place in the “OWASP Top 10 2016” mobile application vulnerabilities ranking.","Do not use empty encryption keys. To generate the keys, it is recommended to use a cryptographically secure PRNG (pseudorandom number generators). To store keys, you need to use special solutions, such as Hardware Security Modules. For security reasons, you need to regularly update your keys.","https://wiki.owasp.org/index.php/Use_of_hard-coded_cryptographic_key,https://cwe.mitre.org/data/definitions/321.html,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://css.csail.mit.edu/6.858/2014/readings/owasp-top-10.pdf,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,https://cwe.mitre.org/data/definitions/1032.html",sdk-9.0.200/src/SourceBuild/content/.vault-config/vmr-pipeline-secrets.yaml,10,Critical,Unconfirmed,Not processed,,,c49c7a18-d4bf-4f38-bd97-ad2a54ad2286
